comp-char	common-char	comp-code	common-code	level	flag
⺼	肉	U+2EBC	U+8089	#	*
⺽	𦥑	U+2EBD	U+26951	B	
⺾	艹	U+2EBE	U+8279	#	
⺿	艹	U+2EBF	U+8279	#	*
⻀	艹	U+2EC0	U+8279	#	*
⻁	虎	U+2EC1	U+864E	#	
⻂	衤	U+2EC2	U+8864	#	
⻃	覀	U+2EC3	U+8980	#	
⻄	西	U+2EC4	U+897F	#	
⻅	见	U+2EC5	U+89C1	#	
⻆	角	U+2EC6	U+89D2	#	
⻇	𧢲	U+2EC7	U+278B2	B	
⻈	讠	U+2EC8	U+8BA0	#	
⻉	贝	U+2EC9	U+8D1D	#	
⻊	𧾷	U+2ECA	U+27FB7	B	
⻋	车	U+2ECB	U+8F66	#	
⻌	辶	U+2ECC	U+8FB6	#	
⻍	辶	U+2ECD	U+8FB6	#	*
⻎	辶	U+2ECE	U+8FB6	#	*
⻏	阝	U+2ECF	U+961D	#	
⻐	钅	U+2ED0	U+9485	#	
⻑	長	U+2ED1	U+9577	#	
⻒	镸	U+2ED2	U+9578	#	
⻓	长	U+2ED3	U+957F	#	
⻔	门	U+2ED4	U+95E8	#	
⻕	𨸏	U+2ED5	U+28E0F	B	
⻖	阝	U+2ED6	U+961D	#	
⻗	雨	U+2ED7	U+96E8	#	*
⻘	青	U+2ED8	U+9752	#	
⻙	韦	U+2ED9	U+97E6	#	
⻚	页	U+2EDA	U+9875	#	
⻛	风	U+2EDB	U+98CE	#	
⻜	飞	U+2EDC	U+98DE	#	
⻝	食	U+2EDD	U+98DF	#	
⻞	𩙿	U+2EDE	U+98E0	B	
⻟	飠	U+2EDF	U+2967F	#	
⻠	饣	U+2EE0	U+9963	#	
⻡	𩠐	U+2EE1	U+29810	B	
⻢	马	U+2EE2	U+9A6C	#	
⻣	骨	U+2EE3	U+9AA8	#	
⻤	鬼	U+2EE4	U+9B3C	#	
⻥	鱼	U+2EE5	U+9C7C	#	
⻦	鸟	U+2EE6	U+9E1F	#	
⻧	卤	U+2EE7	U+5364	#	
⻨	麦	U+2EE8	U+9EA6	#	
⻩	黄	U+2EE9	U+9EC4	#	
⻪	黾	U+2EEA	U+9EFE	#	
⻫	斉	U+2EEB	U+6589	#	
⻬	齐	U+2EEC	U+9F50	#	
⻭	歯	U+2EED	U+6B6F	#	
⻮	齿	U+2EEE	U+9F7F	#	
⻯	竜	U+2EEF	U+7ADC	#	
⻰	龙	U+2EF0	U+9F99	#	
⻱	龜	U+2EF1	U+9F9C	#	
⻲	亀	U+2EF2	U+4E80	#	
⻳	龟	U+2EF3	U+9F9F	#	
⼀	一	U+2F00	U+4E00	#	
⼁	丨	U+2F01	U+4E28	#	
⼂	丶	U+2F02	U+4E36	#	
⼃	丿	U+2F03	U+4E3F	#	
⼄	乙	U+2F04	U+4E59	#	
⼅	亅	U+2F05	U+4E85	#	
⼆	二	U+2F06	U+4E8C	#	
⼇	亠	U+2F07	U+4EA0	#	
⼈	人	U+2F08	U+4EBA	#	
⼉	儿	U+2F09	U+513F	#	
⼊	入	U+2F0A	U+5165	#	
⼋	八	U+2F0B	U+516B	#	
⼌	冂	U+2F0C	U+5182	#	
⼍	冖	U+2F0D	U+5196	#	
⼎	冫	U+2F0E	U+51AB	#	
⼏	几	U+2F0F	U+51E0	#	
⼐	凵	U+2F10	U+51F5	#	
⼑	刀	U+2F11	U+5200	#	
⼒	力	U+2F12	U+529B	#	
⼓	勹	U+2F13	U+52F9	#	
⼔	匕	U+2F14	U+5315	#	
⼕	匚	U+2F15	U+531A	#	
⼖	匸	U+2F16	U+5338	#	
⼗	十	U+2F17	U+5341	#	
⼘	卜	U+2F18	U+535C	#	
⼙	卩	U+2F19	U+5369	#	
⼚	厂	U+2F1A	U+5382	#	
⼛	厶	U+2F1B	U+53B6	#	
